TitleText: Frequency Response
XUnitText: f / fs
YUnitText: H(f)
Markers: on
XLowLimit: -0.5
XHighLimit: 0.5
BoundBox: on
-0.500000 1.277315e-07
-0.498408 2.964679e-08
-0.496817 1.149299e-07
-0.495225 8.408541e-08
-0.493634 7.786055e-08
-0.492042 1.238946e-07
-0.490451 2.103611e-08
-0.488859 1.396560e-07
-0.487268 4.679428e-08
-0.485676 1.240406e-07
-0.484085 1.121695e-07
-0.482493 7.475469e-08
-0.480901 1.582412e-07
-0.479310 2.378886e-09
-0.477718 1.684800e-07
-0.476127 9.189433e-08
-0.474535 1.322065e-07
-0.472944 1.702775e-07
-0.471352 5.021725e-08
-0.469761 2.113020e-07
-0.468169 6.189756e-08
-0.466577 1.942293e-07
-0.464986 1.748975e-07
-0.463394 1.124931e-07
-0.461803 2.524114e-07
-0.460211 2.038506e-08
-0.458620 2.618170e-07
-0.457028 1.706466e-07
-0.455437 1.864960e-07
-0.453845 2.914108e-07
-0.452254 3.524323e-08
-0.450662 3.361423e-07
-0.449070 1.552783e-07
-0.447479 2.749843e-07
-0.445887 3.274640e-07
-0.444296 1.086784e-07
-0.442704 4.185819e-07
-0.441113 1.254311e-07
-0.439521 3.816723e-07
-0.437930 3.590713e-07
-0.436338 2.051436e-07
-0.434746 5.107405e-07
-0.433155 7.611584e-08
-0.431563 5.115978e-07
-0.429972 3.836995e-07
-0.428380 3.320820e-07
-0.426789 6.144608e-07
-0.425197 1.076805e-10
-0.423606 6.716813e-07
-0.422014 3.971556e-07
-0.420423 5.002515e-07
-0.418831 7.317926e-07
-0.417239 1.144852e-07
-0.415648 8.715936e-07
-0.414056 3.925081e-07
-0.412465 7.255123e-07
-0.410873 8.648612e-07
-0.409282 2.843623e-07
-0.407690 1.125133e-06
-0.406099 3.581653e-07
-0.404507 1.031835e-06
-0.402915 1.015496e-06
-0.401324 5.372042e-07
-0.399732 1.452477e-06
-0.398141 2.743304e-07
-0.396549 1.456557e-06
-0.394958 1.184302e-06
-0.393366 9.179328e-07
-0.391775 1.883995e-06
-0.390183 1.061758e-07
-0.388592 2.059971e-06
-0.387000 1.368382e-06
-0.385408 1.502968e-06
-0.383817 2.466945e-06
-0.382225 2.099826e-07
-0.380634 2.943731e-06
-0.379042 1.555757e-06
-0.377451 2.428657e-06
-0.375859 3.277774e-06
-0.374268 7.964388e-07
-0.372676 4.288360e-06
-0.371084 1.711076e-06
-0.369493 3.952844e-06
-0.367901 4.445840e-06
-0.366310 1.902998e-06
-0.364718 6.435440e-06
-0.363127 1.736885e-06
-0.361535 6.599528e-06
-0.359944 6.201622e-06
-0.358352 4.081534e-06
-0.356761 1.008414e-05
-0.355169 1.359155e-06
-0.353577 1.153447e-05
-0.351986 8.979664e-06
-0.350394 8.680258e-06
-0.348803 1.681401e-05
-0.347211 2.515744e-07
-0.345620 2.166795e-05
-0.344028 1.364289e-05
-0.342437 1.944750e-05
-0.340845 3.066322e-05
-0.339254 5.922136e-06
-0.337662 4.538485e-05
-0.336070 2.191565e-05
-0.334479 4.851918e-05
-0.332887 6.347042e-05
-0.331296 2.644539e-05
-0.329704 1.098046e-04
-0.328113 3.729668e-05
-0.326521 1.318686e-04
-0.324930 1.456887e-04
-0.323338 4.198648e-05
-0.321746 1.216241e-04
-0.320155 5.304354e-04
-0.318563 4.927869e-03
-0.316972 2.235146e-02
-0.315380 6.631537e-02
-0.313789 1.494607e-01
-0.312197 2.757620e-01
-0.310606 4.351451e-01
-0.309014 6.048866e-01
-0.307423 7.580522e-01
-0.305831 8.743931e-01
-0.304239 9.473632e-01
-0.302648 9.836783e-01
-0.301056 9.968723e-01
-0.299465 9.997134e-01
-0.297873 9.998789e-01
-0.296282 1.000006e+00
-0.294690 1.000167e+00
-0.293099 1.000096e+00
-0.291507 9.999295e-01
-0.289915 9.998997e-01
-0.288324 1.000001e+00
-0.286732 1.000070e+00
-0.285141 1.000032e+00
-0.283549 9.999656e-01
-0.281958 9.999601e-01
-0.280366 1.000006e+00
-0.278775 1.000032e+00
-0.277183 1.000012e+00
-0.275592 9.999810e-01
-0.274000 9.999817e-01
-0.272408 1.000006e+00
-0.270817 1.000017e+00
-0.269225 1.000004e+00
-0.267634 9.999885e-01
-0.266042 9.999907e-01
-0.264451 1.000005e+00
-0.262859 1.000010e+00
-0.261268 1.000001e+00
-0.259676 9.999925e-01
-0.258084 9.999950e-01
-0.256493 1.000004e+00
-0.254901 1.000006e+00
-0.253310 1.000000e+00
-0.251718 9.999949e-01
-0.250127 9.999972e-01
-0.248535 1.000003e+00
-0.246944 1.000004e+00
-0.245352 9.999996e-01
-0.243761 9.999964e-01
-0.242169 9.999984e-01
-0.240577 1.000002e+00
-0.238986 1.000003e+00
-0.237394 9.999994e-01
-0.235803 9.999974e-01
-0.234211 9.999991e-01
-0.232620 1.000002e+00
-0.231028 1.000002e+00
-0.229437 9.999993e-01
-0.227845 9.999981e-01
-0.226253 9.999996e-01
-0.224662 1.000001e+00
-0.223070 1.000001e+00
-0.221479 9.999993e-01
-0.219887 9.999986e-01
-0.218296 9.999998e-01
-0.216704 1.000001e+00
-0.215113 1.000001e+00
-0.213521 9.999993e-01
-0.211930 9.999989e-01
-0.210338 1.000000e+00
-0.208746 1.000001e+00
-0.207155 1.000001e+00
-0.205563 9.999994e-01
-0.203972 9.999992e-01
-0.202380 1.000000e+00
-0.200789 1.000001e+00
-0.199197 1.000000e+00
-0.197606 9.999994e-01
-0.196014 9.999994e-01
-0.194423 1.000000e+00
-0.192831 1.000001e+00
-0.191239 1.000000e+00
-0.189648 9.999995e-01
-0.188056 9.999995e-01
-0.186465 1.000000e+00
-0.184873 1.000001e+00
-0.183282 1.000000e+00
-0.181690 9.999996e-01
-0.180099 9.999996e-01
-0.178507 1.000000e+00
-0.176915 1.000000e+00
-0.175324 1.000000e+00
-0.173732 9.999996e-01
-0.172141 9.999997e-01
-0.170549 1.000000e+00
-0.168958 1.000000e+00
-0.167366 1.000000e+00
-0.165775 9.999997e-01
-0.164183 9.999998e-01
-0.162592 1.000000e+00
-0.161000 1.000000e+00
-0.159408 1.000000e+00
-0.157817 9.999997e-01
-0.156225 9.999999e-01
-0.154634 1.000000e+00
-0.153042 1.000000e+00
-0.151451 9.999999e-01
-0.149859 9.999997e-01
-0.148268 9.999999e-01
-0.146676 1.000000e+00
-0.145084 1.000000e+00
-0.143493 9.999999e-01
-0.141901 9.999998e-01
-0.140310 1.000000e+00
-0.138718 1.000000e+00
-0.137127 1.000000e+00
-0.135535 9.999999e-01
-0.133944 9.999998e-01
-0.132352 1.000000e+00
-0.130761 1.000000e+00
-0.129169 1.000000e+00
-0.127577 9.999999e-01
-0.125986 9.999998e-01
-0.124394 1.000000e+00
-0.122803 1.000000e+00
-0.121211 1.000000e+00
-0.119620 9.999999e-01
-0.118028 9.999999e-01
-0.116437 1.000000e+00
-0.114845 1.000000e+00
-0.113253 1.000000e+00
-0.111662 9.999999e-01
-0.110070 9.999999e-01
-0.108479 1.000000e+00
-0.106887 1.000000e+00
-0.105296 1.000000e+00
-0.103704 9.999999e-01
-0.102113 9.999999e-01
-0.100521 1.000000e+00
-0.098930 1.000000e+00
-0.097338 1.000000e+00
-0.095746 9.999999e-01
-0.094155 9.999999e-01
-0.092563 1.000000e+00
-0.090972 1.000000e+00
-0.089380 1.000000e+00
-0.087789 9.999999e-01
-0.086197 9.999999e-01
-0.084606 1.000000e+00
-0.083014 1.000000e+00
-0.081422 1.000000e+00
-0.079831 9.999999e-01
-0.078239 1.000000e+00
-0.076648 1.000000e+00
-0.075056 1.000000e+00
-0.073465 1.000000e+00
-0.071873 9.999999e-01
-0.070282 1.000000e+00
-0.068690 1.000000e+00
-0.067099 1.000000e+00
-0.065507 1.000000e+00
-0.063915 9.999999e-01
-0.062324 1.000000e+00
-0.060732 1.000000e+00
-0.059141 1.000000e+00
-0.057549 1.000000e+00
-0.055958 9.999999e-01
-0.054366 1.000000e+00
-0.052775 1.000000e+00
-0.051183 1.000000e+00
-0.049592 1.000000e+00
-0.048000 1.000000e+00
-0.046408 1.000000e+00
-0.044817 1.000000e+00
-0.043225 1.000000e+00
-0.041634 1.000000e+00
-0.040042 1.000000e+00
-0.038451 1.000000e+00
-0.036859 1.000000e+00
-0.035268 1.000000e+00
-0.033676 1.000000e+00
-0.032084 1.000000e+00
-0.030493 1.000000e+00
-0.028901 1.000000e+00
-0.027310 1.000000e+00
-0.025718 1.000000e+00
-0.024127 1.000000e+00
-0.022535 1.000000e+00
-0.020944 1.000000e+00
-0.019352 1.000000e+00
-0.017761 1.000000e+00
-0.016169 1.000000e+00
-0.014577 1.000000e+00
-0.012986 1.000000e+00
-0.011394 1.000000e+00
-0.009803 1.000000e+00
-0.008211 1.000000e+00
-0.006620 1.000000e+00
-0.005028 1.000000e+00
-0.003437 1.000000e+00
-0.001845 1.000000e+00
-0.000253 1.000000e+00
0.001338 1.000000e+00
0.002930 1.000000e+00
0.004521 1.000000e+00
0.006113 1.000000e+00
0.007704 1.000000e+00
0.009296 1.000000e+00
0.010887 1.000000e+00
0.012479 1.000000e+00
0.014070 1.000000e+00
0.015662 1.000000e+00
0.017254 1.000000e+00
0.018845 1.000000e+00
0.020437 1.000000e+00
0.022028 1.000000e+00
0.023620 1.000000e+00
0.025211 1.000000e+00
0.026803 1.000000e+00
0.028394 1.000000e+00
0.029986 1.000000e+00
0.031578 1.000000e+00
0.033169 1.000000e+00
0.034761 1.000000e+00
0.036352 1.000000e+00
0.037944 1.000000e+00
0.039535 1.000000e+00
0.041127 1.000000e+00
0.042718 1.000000e+00
0.044310 1.000000e+00
0.045901 1.000000e+00
0.047493 1.000000e+00
0.049085 1.000000e+00
0.050676 1.000000e+00
0.052268 1.000000e+00
0.053859 1.000000e+00
0.055451 9.999999e-01
0.057042 1.000000e+00
0.058634 1.000000e+00
0.060225 1.000000e+00
0.061817 1.000000e+00
0.063408 9.999999e-01
0.065000 1.000000e+00
0.066592 1.000000e+00
0.068183 1.000000e+00
0.069775 1.000000e+00
0.071366 9.999999e-01
0.072958 1.000000e+00
0.074549 1.000000e+00
0.076141 1.000000e+00
0.077732 1.000000e+00
0.079324 9.999999e-01
0.080916 1.000000e+00
0.082507 1.000000e+00
0.084099 1.000000e+00
0.085690 1.000000e+00
0.087282 9.999999e-01
0.088873 1.000000e+00
0.090465 1.000000e+00
0.092056 1.000000e+00
0.093648 1.000000e+00
0.095239 9.999999e-01
0.096831 1.000000e+00
0.098423 1.000000e+00
0.100014 1.000000e+00
0.101606 9.999999e-01
0.103197 9.999999e-01
0.104789 1.000000e+00
0.106380 1.000000e+00
0.107972 1.000000e+00
0.109563 9.999999e-01
0.111155 9.999999e-01
0.112747 1.000000e+00
0.114338 1.000000e+00
0.115930 1.000000e+00
0.117521 9.999999e-01
0.119113 9.999999e-01
0.120704 1.000000e+00
0.122296 1.000000e+00
0.123887 1.000000e+00
0.125479 9.999999e-01
0.127070 9.999999e-01
0.128662 1.000000e+00
0.130254 1.000000e+00
0.131845 1.000000e+00
0.133437 9.999998e-01
0.135028 9.999998e-01
0.136620 1.000000e+00
0.138211 1.000000e+00
0.139803 1.000000e+00
0.141394 9.999998e-01
0.142986 9.999998e-01
0.144578 1.000000e+00
0.146169 1.000000e+00
0.147761 1.000000e+00
0.149352 9.999998e-01
0.150944 9.999998e-01
0.152535 1.000000e+00
0.154127 1.000000e+00
0.155718 1.000000e+00
0.157310 9.999997e-01
0.158901 9.999998e-01
0.160493 1.000000e+00
0.162085 1.000000e+00
0.163676 9.999999e-01
0.165268 9.999996e-01
0.166859 9.999999e-01
0.168451 1.000000e+00
0.170042 1.000000e+00
0.171634 9.999999e-01
0.173225 9.999996e-01
0.174817 9.999999e-01
0.176409 1.000000e+00
0.178000 1.000000e+00
0.179592 9.999998e-01
0.181183 9.999995e-01
0.182775 9.999999e-01
0.184366 1.000000e+00
0.185958 1.000000e+00
0.187549 9.999997e-01
0.189141 9.999994e-01
0.190732 1.000000e+00
0.192324 1.000001e+00
0.193916 1.000000e+00
0.195507 9.999996e-01
0.197099 9.999993e-01
0.198690 1.000000e+00
0.200282 1.000001e+00
0.201873 1.000000e+00
0.203465 9.999994e-01
0.205056 9.999992e-01
0.206648 1.000000e+00
0.208239 1.000001e+00
0.209831 1.000000e+00
0.211423 9.999991e-01
0.213014 9.999990e-01
0.214606 1.000000e+00
0.216197 1.000001e+00
0.217789 1.000000e+00
0.219380 9.999988e-01
0.220972 9.999988e-01
0.222563 1.000001e+00
0.224155 1.000002e+00
0.225747 1.000000e+00
0.227338 9.999983e-01
